topic,group,csv_l7_diff,nav_file,op_file,L1_diff,L3_diff,L5_diff,L7_diff,L9_diff,L11_diff
pair3 v2 sql join,demonstrative,0.1019,pair3_v2_sql_join__nav.json,pair3_v2_sql_join__op.json,1.1544922822458936,1.16098473410859,0.5012626484024967,0.1019687165880363,0.03917967258713517,-0.24561375214990733
pair4 history khajuraho,demonstrative,0.653,pair4_history_khajuraho__nav.json,pair4_history_khajuraho__op.json,-0.4236774515785644,-0.17760411536781362,0.5655102302307551,0.6529458115169682,0.24206285867973776,0.04176661787361624
petya authentic 3p5,demonstrative,0.5219,petya_authentic_3p5__nav.json,petya_authentic_3p5__op.json,0.5950796768914426,0.4248128633605006,0.6643837381759958,0.5218622102644481,-0.005650733366653782,0.09151230863042414
pilot pair1 prof halloween,demonstrative,1.2883,pilot_pair1_prof_halloween__nav.json,pilot_pair1_prof_halloween__op.json,0.08142937354289437,0.5118655124966676,0.8605882788850803,1.2882749117994052,1.0215467680950603,0.7119512948724704
pilot pair2 code web explorer,demonstrative,0.6215,pilot_pair2_code_web_explorer__nav.json,pilot_pair2_code_web_explorer__op.json,0.11629266499381785,0.15537525513779293,0.4123111159995325,0.621541988694652,0.4765756237554868,0.06945542630945667
pilot pair2 sci traffic flow,demonstrative,0.6823,pilot_pair2_sci_traffic_flow__nav.json,pilot_pair2_sci_traffic_flow__op.json,-1.1859566655611768,-0.6833371316536105,0.599552702739194,0.682308819840479,0.4636597763628352,0.33210498467808947
pilot pair3 code hibernate inheritance,demonstrative,-1.0461,pilot_pair3_code_hibernate_inheritance__nav.json,pilot_pair3_code_hibernate_inheritance__op.json,0.16721439998056375,-0.8669776481080547,-1.0223738676953271,-1.0461160066431745,-1.3607421096804977,-1.1808029860475777
v7 02 time complexity irreducibility,grey,0.6913,023_v7_02_time_complexity_irreducibility_nav.json,023_v7_02_time_complexity_irreducibility_op.json,-2.04569374474913,-1.5543973475031088,-0.17730053185384875,0.6913215573334881,1.0747320917337433,0.8051333048728111
v7 03 wartime animation propaganda,grey,-0.3291,024_v7_03_wartime_animation_propaganda_nav.json,024_v7_03_wartime_animation_propaganda_op.json,1.0703998429309927,-0.028642225057364357,-0.25480064065360963,-0.32906900383074955,-0.48896320053806264,-0.9065673585209346
v7 04 hibernate maven sql,grey,1.3693,025_v7_04_hibernate_maven_sql_nav.json,025_v7_04_hibernate_maven_sql_op.json,-2.580995742595011,-1.496030826781272,0.5970283135246568,1.3692636963202247,1.8315146710365866,1.3830542288223135
v7 06 biological logical neurons,grey,-0.0837,026_v7_06_biological_logical_neurons_nav.json,026_v7_06_biological_logical_neurons_op.json,-2.488560665856925,-1.4019912302577389,-0.4988265081580767,-0.0837488805528821,-0.15834603216008958,0.2222993990255766
petya carotid concise mdt,grey,-0.7375,031_petya_carotid_concise_mdt_nav.json,031_petya_carotid_concise_mdt_op.json,0.8070740701381105,-0.1407267614412877,-0.40334578090636164,-0.7375232012253186,-0.7888405111146248,-1.2157529771530733
petya patterns fractal roots,grey,-0.061,032_petya_patterns_fractal_roots_nav.json,032_petya_patterns_fractal_roots_op.json,-0.13457426628689895,0.07701586552918727,-0.056171864487239986,-0.060982735283744205,-0.11452782429692121,-0.14997103786657107
petya russia influence opening,grey,-0.2657,033_petya_russia_influence_opening_nav.json,033_petya_russia_influence_opening_op.json,-0.6154255542535658,-0.6442185578655213,-0.4213603046441463,-0.26568973161269227,-0.14053741253732,-0.20340348592206325
petya russia independence soviet frame,grey,0.5286,034_petya_russia_independence_soviet_frame_nav.json,034_petya_russia_independence_soviet_frame_op.json,-0.11495891750943343,0.09315515730390089,0.5159892140608839,0.5285116521958102,0.17565834816492654,-0.015903233821443763
petya russia pretraining media challenge,grey,0.7103,035_petya_russia_pretraining_media_challenge_nav.json,035_petya_russia_pretraining_media_challenge_op.json,0.43816355272504204,0.6206297612245688,0.7900580081302859,0.7102771350199824,0.3753076953759624,0.21839499838161913
petya carotid tail first principles,grey,-0.1274,036_petya_carotid_tail_first_principles_nav.json,036_petya_carotid_tail_first_principles_op.json,0.2056232256051036,-0.12716465915056396,0.08526302493089233,-0.12741027419301432,-0.2800938900697112,-0.7176052100376076
petya paod prompt to case opening,grey,0.0017,batch_pair06_hibernate_mappedsuperclass__nav.json,batch_pair06_hibernate_mappedsuperclass__op.json,0.5045358833608979,0.06720404522850032,0.045875662651608806,0.0011724726028674581,0.10310431287030397,-0.1253026613989192
petya paod algorithm tail,grey,0.5656,038_petya_paod_algorithm_tail_nav.json,038_petya_paod_algorithm_tail_op.json,0.22529260392130546,0.43328062983715476,0.5328609341831569,0.5655671412646441,0.27976215628782697,0.30215927090834427
petya risotto constraints decision logic,grey,0.5708,039_petya_risotto_constraints_decision_logic_nav.json,039_petya_risotto_constraints_decision_logic_op.json,0.37657943007016215,0.6411391956339578,0.8782846712430139,0.5708102633640308,0.5867815241676269,0.32171641750571567
batch pair01 anti joke,grey,0.241,batch_pair01_anti_joke__nav.json,batch_pair01_anti_joke__op.json,-0.46759900317903025,-0.1410784108618195,0.30126575939804034,0.24096254406510909,0.3369864796163178,0.4792178880823421
batch pair02 gcp iam,grey,0.494,batch_pair02_gcp_iam__nav.json,batch_pair02_gcp_iam__op.json,-0.5323724038745254,-0.1986331136171291,0.2562027688096489,0.4939365357038916,0.5710256401708591,0.6473995674896145
batch pair03 oop,grey,-0.146,batch_pair03_oop__nav.json,batch_pair03_oop__op.json,-0.5066652144810178,-0.38319159081212284,-0.23585685089512864,-0.14594498638854603,-0.00782930237447843,0.15562946604620365
batch pair06 hibernate mappedsuperclass,grey,0.0012,batch_pair06_hibernate_mappedsuperclass__nav.json,batch_pair06_hibernate_mappedsuperclass__op.json,0.5045358833608979,0.06720404522850032,0.045875662651608806,0.0011724726028674581,0.10310431287030397,-0.1253026613989192
batch pair09 latent heat,grey,0.4202,batch_pair09_latent_heat__nav.json,batch_pair09_latent_heat__op.json,-0.1809714597569272,0.2909320391918975,0.3633338385924656,0.42040592551771283,0.2716637579839656,0.012302900543748052
batch pair10 debroglie grav waves,grey,0.6593,batch_pair10_debroglie_grav_waves__nav.json,batch_pair10_debroglie_grav_waves__op.json,-1.0198651846630824,-0.6053166572428541,0.05506586503778088,0.6593685107775045,0.49045267090265554,0.5641800870939875
