base,nav_tok,op_tok,tok_diff,tok_rel,nav_turns,op_turns,key,panel_key,key_p,topic,group,act_mean_l7_diff
057_youth_sports_drug_prevention_infrastructure,1356,1420,-64,-0.04610951008645533,4,9,youth sports drug prevention infrastructure,youth sports drug prevention infrastructure,youth sports drug prevention infrastructure,youth sports drug prevention infrastructure,demonstrative,-0.0379
058_home_cooking_delivery_app_convenience,1425,1422,3,0.002107481559536354,5,10,home cooking delivery app convenience,home cooking delivery app convenience,home cooking delivery app convenience,home cooking delivery app convenience,demonstrative,-0.1906
059_school_phone_bans_attention_autonomy,1308,1304,4,0.0030627871362940277,4,9,school phone bans attention autonomy,school phone bans attention autonomy,school phone bans attention autonomy,school phone bans attention autonomy,demonstrative,-0.1318
article_pair001_,1424,1401,23,0.016283185840707964,4,7,article pair001,article pair001,article pair001,article pair001,demonstrative,0.863
article_pair001_edu,1424,1428,-4,-0.002805049088359046,4,5,article pair001 edu,article pair001,article pair001,article pair001,demonstrative,0.863
batch_pair01_anti_joke_,1514,1415,99,0.06759986343461932,5,9,batch pair01 anti joke,batch pair01 anti joke,batch pair01 anti joke,batch pair01 anti joke,grey,0.241
batch_pair02_gcp_iam_,1266,1167,99,0.08138101109741061,5,5,batch pair02 gcp iam,batch pair02 gcp iam,batch pair02 gcp iam,batch pair02 gcp iam,grey,0.494
batch_pair03_oop_,1309,1245,64,0.050117462803445575,4,5,batch pair03 oop,batch pair03 oop,batch pair03 oop,batch pair03 oop,grey,-0.146
batch_pair06_hibernate_mappedsuperclass_,1541,1452,89,0.059472101570330775,5,7,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,grey,0.0012
batch_pair07_ww2_animation_,1583,1473,110,0.07198952879581152,5,7,batch pair07 ww2 animation,batch pair07 ww2 animation,batch pair07 ww2 animation,batch pair07 ww2 animation,demonstrative,0.5032
batch_pair08_projectile_collision_,1364,1419,-55,-0.039525691699604744,5,7,batch pair08 projectile collision,batch pair08 projectile collision,batch pair08 projectile collision,batch pair08 projectile collision,demonstrative,0.8985
batch_pair09_latent_heat_,1435,1372,63,0.04488778054862843,5,5,batch pair09 latent heat,batch pair09 latent heat,batch pair09 latent heat,batch pair09 latent heat,grey,0.4202
batch_pair10_debroglie_grav_waves_,1343,1171,172,0.1368337311058075,5,5,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,grey,0.6593
hpv_malaysia_3p5_,1179,1105,74,0.0647985989492119,1,5,hpv malaysia 3p5,hpv malaysia 3p5,hpv malaysia 3p5,hpv malaysia 3p5,demonstrative,0.0535
pair01,1514,1490,24,0.015978695073235686,5,5,pair01,batch pair01 anti joke,batch pair01 anti joke,batch pair01 anti joke,grey,0.241
pair02,1266,1080,186,0.1585677749360614,5,7,pair02,batch pair02 gcp iam,batch pair02 gcp iam,batch pair02 gcp iam,grey,0.494
pair03,1309,1566,-257,-0.17878260869565218,4,5,pair03,batch pair03 oop,batch pair03 oop,batch pair03 oop,grey,-0.146
pair06,1541,1363,178,0.12258953168044077,5,5,pair06,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,batch pair06 hibernate mappedsuperclass,grey,0.0012
pair07,1583,1435,148,0.09807819748177601,5,5,pair07,batch pair07 ww2 animation,batch pair07 ww2 animation,batch pair07 ww2 animation,demonstrative,0.5032
pair08,1364,1492,-128,-0.0896358543417367,5,5,pair08,batch pair08 projectile collision,batch pair08 projectile collision,batch pair08 projectile collision,demonstrative,0.8985
pair09,1435,1534,-99,-0.06668912091613338,5,5,pair09,batch pair09 latent heat,batch pair09 latent heat,batch pair09 latent heat,grey,0.4202
pair10,1343,1305,38,0.028700906344410877,5,5,pair10,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,batch pair10 debroglie grav waves,grey,0.6593
pair3_v2_sql_join_,1300,1153,147,0.11985324092947411,5,5,pair3 v2 sql join,pair3 v2 sql join,pair3 v2 sql join,pair3 v2 sql join,demonstrative,0.1019
pair4_history,886,885,1,0.001129305477131564,5,5,pair4 history,pair4 history khajuraho,pair4 history khajuraho,pair4 history khajuraho,demonstrative,0.653
pair4_history_khajuraho_,886,772,114,0.13751507840772015,5,5,pair4 history khajuraho,pair4 history khajuraho,pair4 history khajuraho,pair4 history khajuraho,demonstrative,0.653
petya_authentic_3p5_,1257,1293,-36,-0.02823529411764706,3,5,petya authentic 3p5,petya authentic 3p5,petya authentic 3p5,petya authentic 3p5,demonstrative,0.5219
pilot_pair1_prof,1039,1151,-112,-0.10228310502283106,5,5,pilot pair1 prof,pilot pair1 prof halloween,pilot pair1 prof halloween,pilot pair1 prof halloween,demonstrative,1.2883
pilot_pair1_prof_halloween_,1039,929,110,0.11178861788617886,5,5,pilot pair1 prof halloween,pilot pair1 prof halloween,pilot pair1 prof halloween,pilot pair1 prof halloween,demonstrative,1.2883
pilot_pair2_code,892,960,-68,-0.0734341252699784,5,5,pilot pair2 code,pilot pair2 code web explorer,pilot pair2 code web explorer,pilot pair2 code web explorer,demonstrative,0.6215
pilot_pair2_code_web_explorer_,892,836,56,0.06481481481481481,5,7,pilot pair2 code web explorer,pilot pair2 code web explorer,pilot pair2 code web explorer,pilot pair2 code web explorer,demonstrative,0.6215
pilot_pair2_sci,2232,1428,804,0.43934426229508194,4,5,pilot pair2 sci,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,demonstrative,0.6823
pilot_pair2_sci_traffic_flow_,1168,1189,-21,-0.017819261773440814,2,5,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,pilot pair2 sci traffic flow,demonstrative,0.6823
pilot_pair3_code,925,1049,-124,-0.12563323201621074,3,3,pilot pair3 code,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,demonstrative,-1.0461
pilot_pair3_code_hibernate_inheritance_,925,879,46,0.050997782705099776,3,3,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,pilot pair3 code hibernate inheritance,demonstrative,-1.0461
